study_id;doi;especie;especie_grupo;mean_sgr_ext;std_sgr_ext;n_ind_ext;mean_sgr_pel;std_sgr_pel;n_ind_pel;yi;vi;hedges_g;var_g;lrr;var_lrr
Aba et al (2012);DOI: 10.3923/pjn.2012.104.109;Oncorhynchus mykiss;Fish;0.8;NA;700;0.7;NA;700;NA;NA;NA;NA;0.133531393;NA
Adedeji et al (2017);doi:10.1111/are.12932;Litopenaeus vannamei;Crustacean;3.42;0.144;200;3.289;0.105;200;1.037574864;0.011345702;1.035618406;0.011302955;0.039056984;1.40E-05
Adedeji et al (2017);doi:10.1111/are.12932;Litopenaeus vannamei;Crustacean;5.283;0.254;300;4.987;0.262;300;1.145709526;0.007760542;1.144271998;0.00774108;0.057659592;1.69E-05
Aguilar et al (2010);http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-29522010000200003&lang=pt;Oreochromis niloticus;Fish;0.43;0.024;252;0.492;0.025;252;-2.526303212;0.014268063;-2.522526974;0.01422544;-0.134693508;2.26E-05
Espinoza-Ortega et al  (2024);https://doi.org/10.1007/s10499-023-01166-9;Litopenaeus vannamei;Crustacean;3.71;0.086;32;3.457;0.067;32;3.242090869;0.144618384;3.202713247;0.141126721;0.070630716;2.85E-05
Espinoza-Ortega et al  (2024);https://doi.org/10.1007/s10499-023-01166-9;Litopenaeus vannamei;Crustacean;3.643;0.084;32;3.501;0.135;32;1.247657768;0.074661327;1.23250403;0.072858706;0.039758876;6.31E-05
Espinoza-Ortega et al  (2024);https://doi.org/10.1007/s10499-023-01166-9;Litopenaeus vannamei;Crustacean;3.457;0.105;32;3.486;0.082;32;-0.304099221;0.063222471;-0.300405708;0.061696029;-0.008353786;4.61E-05
Espinoza-Ortega et al  (2024);https://doi.org/10.1007/s10499-023-01166-9;Litopenaeus vannamei;Crustacean;3.486;0.169;32;3.411;0.17;32;0.43709811;0.063992615;0.431789226;0.062447579;0.021749444;0.000151068
Gao et al (2019);https://doi.org/10.1016/j.aquaculture.2019.734236;Carassius gibelio;Fish;1.08;0.58;375;0.85;0.58;375;0.396153957;0.005437959;0.395756611;0.005427055;0.239479971;0.002010705
Guroy et al (2006);na;Dicentrarchus labrax;Fish;0.7;0.3;900;0.6;0.3;900;0.333194267;0.002253061;0.333055263;0.002251181;0.15415068;0.000481859
Guroy et al (2006);na;Dicentrarchus labrax;Fish;0.7;0.3;900;0.6;0.3;900;0.333194267;0.002253061;0.333055263;0.002251181;0.15415068;0.000481859
He et al (2020);https://doi.org/10.1111/jpn.13538;Megalobrama amblycephala;Fish;1.4;0.16;64;1.43;0.08;64;-0.235755817;0.031467113;-0.234349719;0.031092879;-0.021202208;0.000252984
He et al (2022);https://doi.org/10.1007/s10695-022-01085-1;Megalobrama amblycephala;Fish;1.45;0.15;60;1.44;0.15;60;0.066241888;0.033351617;0.065819965;0.032928108;0.006920443;0.000359204
Li et al (2018a);https://doi.org/10.1016/j.aquaculture.2018.04.058;Ctenopharyngodon idellus;Fish;2.45;0.025;45;2.36;0.022;45;3.789326956;0.12421666;3.756939546;0.122102372;0.037426406;4.24E-06
Li et al (2018a);https://doi.org/10.1016/j.aquaculture.2018.04.058;Ctenopharyngodon idellus;Fish;2.33;0.01;45;2.23;0.001;45;13.95162055;1.125820644;13.83237593;1.10665809;0.043866682;4.14E-07
Li et al (2018a);https://doi.org/10.1016/j.aquaculture.2018.04.058;Ctenopharyngodon idellus;Fish;2.2;0.002;45;2.13;0.01;45;9.624245956;0.559033946;9.541987444;0.549518648;0.032335381;5.08E-07
Li et al (2018a);https://doi.org/10.1016/j.aquaculture.2018.04.058;Ctenopharyngodon idellus;Fish;2.02;0.002;45;1.94;0.033;45;3.392854604;0.108397013;3.363855846;0.106551991;0.040409538;6.45E-06
Li et al (2018b);DOI: 10.3724/SP.J.1118.2018.18066;Ictalurus punctatus;Fish;2.63;0.202;90;2.65;0.2;90;-0.099081321;0.022249492;-0.098663256;0.022062129;-0.007575794;0.000128835
Liu et al (2023);https://doi.org/10.1016/j.aqrep.2023.101479;Micropterus salmoides;Fish;2.482;0.167;90;2.311;0.268;90;0.762602881;0.023837675;0.759385148;0.023636938;0.071384355;0.000199729
Liu et al (2023);https://doi.org/10.1016/j.aqrep.2023.101479;Micropterus salmoides;Fish;2.591453406;0.205709389;90;2.434;0.5;90;0.41011318;0.022689425;0.408382744;0.022498357;0.062682884;0.000538887
Liu et al (2023);https://doi.org/10.1016/j.aqrep.2023.101479;Micropterus salmoides;Fish;2.698;0.183;90;2.623;0.137;90;0.462022466;0.02281518;0.460073004;0.022623053;0.028192057;8.14E-05
Liu et al (2023);https://doi.org/10.1016/j.aqrep.2023.101479;Micropterus salmoides;Fish;2.806;0.091;90;2.557;0.469;90;0.733972499;0.023718655;0.730875569;0.023518919;0.092925285;0.000385488
Llanes Iglesias (2021);http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2224-79202021000100001&lng=es&nrm=iso;Clarias gariepinus;Fish;3.116;0.03;60;3.167;0.04;60;-1.433306692;0.0418932;-1.42417735;0.041361229;-0.01623464;4.20E-06
Ma et al (2016);https://doi.org/10.1111/anu.12229;Oreochromis aureus × Tilapia nilotica;Fish;1.52;0.02;105;1.48;0.01;105;2.520687362;0.034175869;2.511587408;0.033929557;0.026668247;2.08E-06
Ma et al (2016);https://doi.org/10.1111/anu.12229;Oreochromis aureus × Tilapia nilotica;Fish;1.57;0.01;105;1.52;0.03;105;2.227993909;0.030866564;2.21995061;0.030644103;0.032365285;4.10E-06
Ma et al (2016);https://doi.org/10.1111/anu.12229;Oreochromis aureus × Tilapia nilotica;Fish;1.59;0.01;105;1.53;0.01;105;5.978335001;0.104144022;5.956752564;0.103393437;0.038466281;7.84E-07
Pokniak et al (1999);http://dx.doi.org/10.4067/S0301-732X1999000100017;Oncorhynchus mykiss;Fish;2.649;0.091;300;2.649;0.088;300;0;0.006666667;0;0.006649948;0;7.61E-06
Rout & Bandyopadhyay (1999);https://doi.org/10.1016/S0144-8609(98)00034-X;Penaeus monodon;Crustacean;2.14;0.068;15;2.218;0.099;15;-0.893581623;0.146641469;-0.869430768;0.138822018;-0.03580006;0.000200131
Schwertner et al (2003);https://doi.org/10.1111/j.1749-7345.2003.tb00053.x;Oncorhynchus mykiss;Fish;1.24;0.08;75;1.25;0.07;75;-0.13236251;0.026725066;-0.131690619;0.026454434;-0.008032172;9.73E-05
Shan et al (2017);https://doi.org/10.1111/are.12860;Cyprinus carpio;Fish;2.83;0.051;75;2.66;0.089;75;2.331868146;0.04479203;2.320031251;0.044338443;0.061950589;1.93E-05
Shi et al (2016);https://doi.org/10.1016/j.aquaculture.2016.03.049;Carassius auratus;Fish;1.49;0.067;75;1.48;0.078;75;0.136837491;0.026729082;0.136142884;0.026458409;0.006734032;6.40E-05
Shi et al (2016);https://doi.org/10.1016/j.aquaculture.2016.03.049;Carassius auratus;Fish;1.47;0.036;75;1.26;0.058;75;4.328431546;0.089117732;4.306459812;0.08821528;0.15415068;3.62E-05
Shi et al (2016);https://doi.org/10.1016/j.aquaculture.2016.03.049;Carassius auratus;Fish;1.47;0.062;75;1.3;0.048;75;3.050606625;0.057687336;3.035121312;0.057103164;0.122898136;4.19E-05
Shi et al (2016);https://doi.org/10.1016/j.aquaculture.2016.03.049;Carassius auratus;Fish;1.57;0.021;75;1.42;0.028;75;6.03014051;0.147875315;5.999530659;0.146377853;0.100418748;7.57E-06
Shi et al (2016);https://doi.org/10.1016/j.aquaculture.2016.03.049;Carassius auratus;Fish;1.51;0.032;75;1.37;0.04;75;3.845478056;0.075959005;3.825957863;0.075189805;0.097298911;1.74E-05
Soares et al (2021);https://doi.org/10.1007/s10499-020-00636-8;Litopenaeus vannamei;Crustacean;2.666;0.388;60;2.792;0.256;60;-0.38089232;0.033937829;-0.378466254;0.033506877;-0.046178963;0.000493133
Soares et al (2021);https://doi.org/10.1007/s10499-020-00636-8;Litopenaeus vannamei;Crustacean;1.241;0.175;60;1.258;0.133;60;-0.108680438;0.033382548;-0.107988206;0.032958647;-0.013605652;0.000517712
