Model;Term;Estimate;SE;Z;P;CI_Lower;CI_Upper;tau2;I2;R2
Year;intercept;0.160162628;0.956373853;0.167468639;0.867001321;-1.714295679;2.034620935;0.904656558;97.70212564;61.66526267
Year;ano1999;-0.565484892;1.183686202;-0.477732097;0.632840896;-2.885467218;1.754497434;0.904656558;97.70212564;61.66526267
Year;ano2003;-0.291853247;1.358588215;-0.214820977;0.829906898;-2.954637219;2.370930724;0.904656558;97.70212564;61.66526267
Year;ano2006;0.172892635;1.169660128;0.147814421;0.882489228;-2.119599091;2.465384361;0.904656558;97.70212564;61.66526267
Year;ano2009;2.919777895;1.182168068;2.469850079;0.013516969;0.602771059;5.236784732;0.904656558;97.70212564;61.66526267
Year;ano2010;-2.682689602;1.35408011;-1.981189726;0.047570001;-5.336637851;-0.028741354;0.904656558;97.70212564;61.66526267
Year;ano2016;2.483755349;1.036332788;2.396677377;0.016544484;0.452580408;4.514930291;0.904656558;97.70212564;61.66526267
Year;ano2017;0.913621909;1.023796824;0.892385958;0.372186095;-1.092982992;2.920226811;0.904656558;97.70212564;61.66526267
Year;ano2018a;3.398735387;1.193362121;2.848033574;0.004399028;1.059788609;5.737682166;0.904656558;97.70212564;61.66526267
Year;ano2018b;-0.258825884;1.356970756;-0.190737997;0.848730868;-2.918439695;2.400787926;0.904656558;97.70212564;61.66526267
Year;ano2019;0.235593983;1.350827361;0.174407174;0.861545476;-2.411978994;2.88316696;0.904656558;97.70212564;61.66526267
Year;ano2020;-0.394512347;1.360294227;-0.290019864;0.771801041;-3.060640039;2.271615346;0.904656558;97.70212564;61.66526267
Year;ano2021;-0.794752067;1.10823223;-0.717134951;0.473290831;-2.966847325;1.377343191;0.904656558;97.70212564;61.66526267
Year;ano2022;-0.120553032;1.175033721;-0.102595381;0.918284109;-2.423576805;2.182470741;0.904656558;97.70212564;61.66526267
Year;ano2023;0.429429942;1.070785854;0.401041852;0.688389311;-1.669271766;2.528131651;0.904656558;97.70212564;61.66526267
Year;ano2024;0.941345338;1.077814017;0.873383834;0.3824539;-1.171131317;3.053821993;0.904656558;97.70212564;61.66526267
Temperature;intercept;0.160162628;1.203316139;0.133101039;0.894113474;-2.198293666;2.518618922;1.437975341;98.48716572;30.92608222
Temperature;as.factor(temperatura)15;-0.225559671;1.474855854;-0.152936757;0.878448149;-3.116224026;2.665104685;1.437975341;98.48716572;30.92608222
Temperature;as.factor(temperatura)20-27;-0.146458899;1.705280235;-0.085885531;0.931557413;-3.488746744;3.195828946;1.437975341;98.48716572;30.92608222
Temperature;as.factor(temperatura)21-25;0.429461534;1.346562605;0.318931725;0.749778287;-2.209752675;3.068675742;1.437975341;98.48716572;30.92608222
Temperature;as.factor(temperatura)22-27;0.597026312;1.347839513;0.442950593;0.657801472;-2.044690591;3.238743214;1.437975341;98.48716572;30.92608222
Temperature;as.factor(temperatura)24;2.145067268;1.278334401;1.678017322;0.093343717;-0.360422118;4.650556654;1.437975341;98.48716572;30.92608222
Temperature;as.factor(temperatura)25;1.184935087;1.476234872;0.802673822;0.422163287;-1.708432095;4.078302268;1.437975341;98.48716572;30.92608222
Temperature;as.factor(temperatura)26;-1.315812183;1.487019233;-0.884865611;0.376229117;-4.230316324;1.598691959;1.437975341;98.48716572;30.92608222
Temperature;as.factor(temperatura)27;1.804359498;1.27936789;1.410352341;0.158435671;-0.703155489;4.311874486;1.437975341;98.48716572;30.92608222
Temperature;as.factor(temperatura)28;-0.081222326;1.319555334;-0.0615528;0.950918965;-2.667503257;2.505058605;1.437975341;98.48716572;30.92608222
