Study;Domain;Rating
Aba et al (2012);Randomization_of_tanks;
Adedeji et al (2017);Randomization_of_tanks;
Aguilar et al (2010);Randomization_of_tanks;
Espinoza-Ortega et al  (2024);Randomization_of_tanks;
Gao et al (2019);Randomization_of_tanks;
Guroy et al (2006);Randomization_of_tanks;
He et al (2020);Randomization_of_tanks;
He et al (2022);Randomization_of_tanks;
Li et al (2018a);Randomization_of_tanks;
Li et al (2018b);Randomization_of_tanks;
Liu et al (2023);Randomization_of_tanks;
Llanes Iglesias (2021);Randomization_of_tanks;
Ma et al (2016);Randomization_of_tanks;
Pokniak et al (1999);Randomization_of_tanks;
Rout & Bandyopadhyay (1999);Randomization_of_tanks;
Schwertner et al (2003);Randomization_of_tanks;
Shan et al (2017);Randomization_of_tanks;
Shi et al (2016);Randomization_of_tanks;
Soares et al (2021);Randomization_of_tanks;
Venou et al (2009);Randomization_of_tanks;
Vens-Cappell (1984);Randomization_of_tanks;
Wan et al (2022);Randomization_of_tanks;
Xu et al (2017);Randomization_of_tanks;
Aba et al (2012);Allocation_concealment;
Adedeji et al (2017);Allocation_concealment;
Aguilar et al (2010);Allocation_concealment;
Espinoza-Ortega et al  (2024);Allocation_concealment;
Gao et al (2019);Allocation_concealment;
Guroy et al (2006);Allocation_concealment;
He et al (2020);Allocation_concealment;
He et al (2022);Allocation_concealment;
Li et al (2018a);Allocation_concealment;
Li et al (2018b);Allocation_concealment;
Liu et al (2023);Allocation_concealment;
Llanes Iglesias (2021);Allocation_concealment;
Ma et al (2016);Allocation_concealment;
Pokniak et al (1999);Allocation_concealment;
Rout & Bandyopadhyay (1999);Allocation_concealment;
Schwertner et al (2003);Allocation_concealment;
Shan et al (2017);Allocation_concealment;
Shi et al (2016);Allocation_concealment;
Soares et al (2021);Allocation_concealment;
Venou et al (2009);Allocation_concealment;
Vens-Cappell (1984);Allocation_concealment;
Wan et al (2022);Allocation_concealment;
Xu et al (2017);Allocation_concealment;
Aba et al (2012);Blinding_of_feeders/assessors;
Adedeji et al (2017);Blinding_of_feeders/assessors;
Aguilar et al (2010);Blinding_of_feeders/assessors;
Espinoza-Ortega et al  (2024);Blinding_of_feeders/assessors;
Gao et al (2019);Blinding_of_feeders/assessors;
Guroy et al (2006);Blinding_of_feeders/assessors;
He et al (2020);Blinding_of_feeders/assessors;
He et al (2022);Blinding_of_feeders/assessors;
Li et al (2018a);Blinding_of_feeders/assessors;
Li et al (2018b);Blinding_of_feeders/assessors;
Liu et al (2023);Blinding_of_feeders/assessors;
Llanes Iglesias (2021);Blinding_of_feeders/assessors;
Ma et al (2016);Blinding_of_feeders/assessors;
Pokniak et al (1999);Blinding_of_feeders/assessors;
Rout & Bandyopadhyay (1999);Blinding_of_feeders/assessors;
Schwertner et al (2003);Blinding_of_feeders/assessors;
Shan et al (2017);Blinding_of_feeders/assessors;
Shi et al (2016);Blinding_of_feeders/assessors;
Soares et al (2021);Blinding_of_feeders/assessors;
Venou et al (2009);Blinding_of_feeders/assessors;
Vens-Cappell (1984);Blinding_of_feeders/assessors;
Wan et al (2022);Blinding_of_feeders/assessors;
Xu et al (2017);Blinding_of_feeders/assessors;
Aba et al (2012);Baseline_equivalence;
Adedeji et al (2017);Baseline_equivalence;
Aguilar et al (2010);Baseline_equivalence;
Espinoza-Ortega et al  (2024);Baseline_equivalence;
Gao et al (2019);Baseline_equivalence;
Guroy et al (2006);Baseline_equivalence;
He et al (2020);Baseline_equivalence;
